age,language,urban_rural,region,electricity_nearby,piped_water_nearby,sweage_system_nearby,post_office_nearby,school_nearby,soldiers_nearby,customs_checkpoints_nearby,situation_country,situation_personal,armed_forces_trust,courts_law_trust
20,English,Rural,ABIA,Yes,Yes,Yes,No,No,No,No,Very Bad,Very Bad,Not at all,Somewhat
38,Hausa,Urban,KADUNA,Yes,Yes,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,A lot,A lot
40,Yoruba,Urban,KADUNA,Yes,Yes,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Not at all
78,Hausa,Urban,KADUNA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Good,Not at all,Not at all
42,Idoma,Urban,KADUNA,Yes,Yes,No,No,Yes,No,No,Very Bad,Fairly Bad,Not at all,Not at all
35,Ebira,Urban,KOGI,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,A lot,Not at all
30,Ebira,Urban,KOGI,Yes,No,No,No,Yes,No,No,Very good,Very good,Just a little,Just a little
47,Ebira,Urban,KOGI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,Somewhat
42,Igbo,Rural,ABIA,Yes,Yes,Yes,No,No,No,No,Very Bad,Very Bad,Not at all,Not at all
55,Igbo,Rural,ABIA,Yes,Yes,Yes,No,No,No,No,Very Bad,Very Bad,Not at all,Not at all
23,English,Rural,ABIA,Yes,Yes,Yes,No,No,No,No,Fairly Good,Fairly Good,Just a little,Just a little
20,Ebira,Urban,KOGI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,A lot,Not at all
42,Yoruba,Urban,KADUNA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Neither good nor bad,Refused,Somewhat
26,Hausa,Rural,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Good,Very good,A lot,Somewhat
30,Hausa,Rural,KEBBI,Yes,Yes,No,No,Yes,No,No,Very good,Very good,Just a little,A lot
31,Hausa,Rural,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
18,Hausa,Urban,KADUNA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Good,Not at all,Just a little
47,Hausa,Rural,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
30,English,Urban,KADUNA,Yes,Yes,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
42,Igbo,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Just a little
28,Idoma,Urban,KADUNA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,A lot
19,Don't know,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Just a little
25,Other,Rural,DELTA,No,No,No,No,Yes,No,No,Very good,Neither good nor bad,Not at all,Just a little
43,Urhobo,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
21,Hausa,Rural,KEBBI,Yes,Yes,No,No,Yes,No,No,Neither good nor bad,Very good,Somewhat,Somewhat
19,Hausa,Rural,KEBBI,Yes,Yes,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Not at all
19,Hausa,Rural,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Just a little
40,Hausa,Rural,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Good,Very good,Somewhat,Just a little
38,English,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Just a little,Somewhat
34,Refused,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
28,Urhobo,Rural,DELTA,No,No,No,No,Yes,No,No,Very good,Very good,Somewhat,Somewhat
25,Pidgin English,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Fairly Good,Somewhat,Not at all
39,Igbo,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
21,Igbo,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Just a little
26,Other,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Neither good nor bad,Just a little,Somewhat
48,English,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
19,English,Rural,KEBBI,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
29,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Neither good nor bad,Fairly Bad,Just a little,Somewhat
21,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Good,Very good,Somewhat,Just a little
18,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
22,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Good,Fairly Bad,Just a little,Just a little
73,Igbo,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
18,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
60,Fulani,Rural,KEBBI,No,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Just a little,Just a little
24,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
45,English,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Fairly Bad,Not at all,Not at all
24,Pidgin English,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Fairly Good,Somewhat,Not at all
56,Other,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
42,Igbo,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Somewhat,Just a little
36,Igbo,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
24,Igbo,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
58,Yoruba,Rural,KOGI,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Just a little
25,Yoruba,Rural,KOGI,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
50,Yoruba,Rural,KOGI,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Don’t know,A lot
20,Yoruba,Rural,KOGI,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
54,Igbo,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
22,Other,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Just a little,Somewhat
40,English,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Just a little
42,Urhobo,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
35,Igbo,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Bad,A lot,Just a little
68,Yoruba,Rural,KOGI,No,No,No,No,Yes,No,No,Fairly Bad,Very Bad,Not at all,Not at all
35,Yoruba,Rural,KOGI,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
30,Yoruba,Rural,KOGI,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Just a little
65,Yoruba,Rural,KOGI,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Not at all
22,Other,Urban,KADUNA,Yes,No,No,No,Yes,Yes,No,Very good,Very good,Not at all,Not at all
24,Other,Urban,KADUNA,Yes,No,No,No,Yes,Yes,No,Very good,Very good,Somewhat,Just a little
18,Other,Urban,KADUNA,Yes,No,No,No,Yes,Yes,No,Fairly Good,Fairly Good,Just a little,Just a little
49,Other,Urban,KADUNA,Yes,No,No,No,Yes,Yes,No,Neither good nor bad,Fairly Bad,Not at all,Not at all
24,Other,Urban,KADUNA,Yes,No,No,No,Yes,Yes,No,Very good,Very good,Not at all,Not at all
25,Other,Urban,KADUNA,Yes,No,No,No,Yes,Yes,No,Very good,Very good,Not at all,Not at all
42,Other,Urban,KADUNA,Yes,No,No,No,Yes,Yes,No,Fairly Bad,Fairly Good,Somewhat,Just a little
52,Other,Urban,KADUNA,Yes,No,No,No,Yes,Yes,No,Fairly Bad,Fairly Bad,Just a little,Not at all
59,Igbo,Urban,ABIA,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Not at all,Not at all
70,Igbo,Urban,ABIA,Yes,Yes,Yes,No,Yes,Yes,No,Fairly Good,Neither good nor bad,Not at all,Not at all
40,Igbo,Urban,ABIA,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Not at all,Not at all
50,English,Urban,ABIA,Yes,Yes,Yes,No,Yes,Yes,No,Very good,Very good,Just a little,Not at all
23,Yoruba,Rural,KOGI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
45,Yoruba,Rural,KOGI,Yes,No,No,No,Yes,No,No,Neither good nor bad,Very Bad,Somewhat,Don’t know
68,Yoruba,Rural,KOGI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
20,Yoruba,Rural,KOGI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Not at all,Not at all
19,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Very good,Very good,Don’t know,Don’t know
34,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Good,Fairly Bad,Just a little,Just a little
58,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Good,Very good,Somewhat,Somewhat
29,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Just a little
38,English,Urban,ABIA,Yes,Yes,Yes,No,Yes,Yes,No,Fairly Bad,Fairly Bad,Somewhat,Just a little
23,Igbo,Urban,ABIA,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Not at all,Not at all
20,Yoruba,Rural,KOGI,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Don’t know,Don’t know
20,Yoruba,Rural,KOGI,Yes,No,No,No,Yes,No,No,Very good,Fairly Good,Just a little,Just a little
60,Yoruba,Rural,KOGI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,Don’t know
53,Igbo,Urban,ABIA,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Not at all,Not at all
18,English,Urban,ABIA,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Very Bad,Not at all,Just a little
19,Yoruba,Rural,KOGI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
46,English,Rural,KADUNA,No,No,No,No,Yes,No,No,Fairly Bad,Very Bad,Somewhat,Somewhat
31,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Just a little
29,Other,Rural,KADUNA,No,No,No,No,Yes,No,No,Very Bad,Neither good nor bad,Just a little,Just a little
25,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Good,Very good,Somewhat,Somewhat
67,Yoruba,Rural,KADUNA,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,A lot,Somewhat
36,Hausa,Rural,KADUNA,No,No,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,A lot,A lot
55,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Very good,Very good,Don’t know,Don’t know
24,Hausa,Rural,KEBBI,No,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
23,Ijaw,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
40,Ijaw,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Not at all,Just a little
65,Ijaw,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,A lot
18,Ijaw,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
20,Other,Rural,KADUNA,No,No,No,No,Yes,No,No,Very good,Very good,Not at all,Not at all
25,English,Rural,KADUNA,No,No,No,No,Yes,No,No,Very good,Very good,A lot,A lot
30,Other,Rural,KADUNA,No,No,No,No,Yes,No,No,Very Bad,Fairly Good,A lot,Somewhat
30,Ijaw,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Just a little
24,Ijaw,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
54,Ijaw,Rural,DELTA,No,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,Not at all
22,Ijaw,Rural,DELTA,No,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Not at all,Somewhat
39,Other,Rural,KADUNA,No,No,No,No,Yes,No,No,Fairly Bad,Very Bad,Somewhat,Somewhat
18,Hausa,Rural,KEBBI,Yes,No,No,No,Yes,No,No,Fairly Good,Very good,Somewhat,Somewhat
48,Hausa,Rural,KEBBI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
52,Hausa,Rural,KEBBI,Yes,No,No,No,Yes,No,No,Very good,Very good,A lot,A lot
58,Hausa,Rural,KEBBI,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Somewhat
43,Hausa,Rural,KEBBI,Yes,No,No,No,Yes,No,No,Very good,Fairly Good,Just a little,Don’t know
35,Hausa,Rural,KEBBI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
24,Hausa,Rural,KEBBI,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
25,Hausa,Rural,KEBBI,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Bad,Somewhat,Somewhat
60,English,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
70,Igbo,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
54,Pidgin English,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
55,English,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very good,Very good,Just a little,Not at all
49,Other,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
34,Hausa,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
29,Pidgin English,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Somewhat,Just a little
45,Other,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,A lot
26,Igbo,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Fairly Bad,Not at all,Not at all
21,Igbo,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
24,Pidgin English,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Fairly Bad,Not at all,Not at all
27,English,Rural,ABIA,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Fairly Bad,Not at all,Not at all
27,Hausa,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Somewhat,Somewhat
33,Pidgin English,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,A lot,A lot
19,Other,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Not at all,Not at all
31,Other,Rural,KADUNA,Yes,No,No,No,Yes,No,No,Fairly Good,Very good,Just a little,Just a little
70,Yoruba,Urban,EKITI,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
18,Yoruba,Urban,EKITI,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
65,Yoruba,Urban,EKITI,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Neither good nor bad,A lot,Somewhat
45,Yoruba,Urban,EKITI,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
35,Hausa,Urban,KEBBI,Yes,Yes,No,No,Yes,No,No,Very good,Fairly Good,Just a little,Just a little
40,Hausa,Urban,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
23,Hausa,Urban,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Somewhat
20,Hausa,Urban,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,Somewhat
73,Yoruba,Urban,EKITI,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Don’t know
18,Other,Urban,EKITI,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,A lot,A lot
35,Yoruba,Urban,EKITI,Yes,Yes,Yes,No,Yes,No,No,Neither good nor bad,Fairly Bad,Just a little,Not at all
41,Hausa,Urban,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Just a little,Just a little
28,Hausa,Urban,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,A lot
35,Hausa,Urban,KEBBI,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Somewhat,A lot
25,Yoruba,Urban,EKITI,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
20,Hausa,Urban,KEBBI,Yes,Yes,No,No,Yes,No,No,Very good,Neither good nor bad,Don’t know,Don’t know
18,Pidgin English,Urban,DELTA,Yes,Yes,No,Can't determine,Yes,No,No,Very Bad,Very good,Not at all,Not at all
33,Urhobo,Urban,DELTA,Yes,Yes,No,Can't determine,Yes,No,No,Fairly Bad,Fairly Good,Not at all,Not at all
18,Urhobo,Urban,DELTA,Yes,Yes,No,Can't determine,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
25,Pidgin English,Urban,DELTA,Yes,Yes,No,Can't determine,Yes,No,No,Fairly Bad,Neither good nor bad,Somewhat,Somewhat
22,Pidgin English,Urban,RIVERS,Yes,No,Yes,No,Yes,No,No,Neither good nor bad,Fairly Bad,Not at all,Not at all
24,Yoruba,Urban,EKITI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Not at all
25,Yoruba,Urban,EKITI,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Somewhat,Don’t know
42,Other,Urban,EKITI,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Bad,Somewhat,Just a little
31,Kanuri,Urban,EKITI,Yes,No,No,No,Yes,No,No,Fairly Good,Fairly Bad,Somewhat,Somewhat
45,Yoruba,Urban,EKITI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
29,Pidgin English,Urban,DELTA,Yes,Yes,No,Can't determine,Yes,No,No,Very Bad,Neither good nor bad,Somewhat,Somewhat
18,Urhobo,Urban,DELTA,Yes,Yes,No,Can't determine,Yes,No,No,Fairly Bad,Neither good nor bad,A lot,Just a little
45,Yoruba,Urban,EKITI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
47,English,Urban,DELTA,Yes,Yes,No,Can't determine,Yes,No,No,Very good,Very good,Not at all,Not at all
23,Yoruba,Urban,EKITI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Just a little
30,Urhobo,Urban,DELTA,Yes,Yes,No,Can't determine,Yes,No,No,Very Bad,Fairly Good,Not at all,Not at all
27,Yoruba,Urban,EKITI,Yes,No,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Just a little,Somewhat
23,Pidgin English,Urban,RIVERS,Yes,Yes,Yes,No,Yes,Yes,No,Fairly Bad,Fairly Good,Somewhat,A lot
28,English,Urban,RIVERS,Yes,No,Yes,No,Yes,No,No,Fairly Good,Neither good nor bad,Somewhat,Just a little
37,Pidgin English,Urban,RIVERS,Yes,No,Yes,No,Yes,No,No,Neither good nor bad,Neither good nor bad,Somewhat,Somewhat
32,English,Urban,RIVERS,Yes,No,Yes,No,Yes,No,No,Very Bad,Fairly Good,Somewhat,Somewhat
19,English,Urban,RIVERS,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
38,English,Urban,RIVERS,Yes,No,Yes,No,Yes,No,No,Very good,Very good,Just a little,Not at all
35,Pidgin English,Urban,RIVERS,Yes,No,Yes,No,Yes,No,No,Very Bad,Refused,Not at all,Not at all
50,Igbo,Urban,RIVERS,Yes,No,Yes,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
18,Urhobo,Urban,EDO,Yes,No,No,Can't determine,Yes,Yes,No,Very Bad,Fairly Bad,Not at all,Not at all
19,Igbo,Urban,EDO,Yes,No,No,Can't determine,Yes,Yes,No,Fairly Good,Very Bad,Not at all,Not at all
30,English,Urban,EDO,Yes,No,No,Can't determine,Yes,Yes,No,Very Bad,Neither good nor bad,Not at all,Not at all
81,Edo,Urban,EDO,Yes,No,No,Can't determine,Yes,Yes,No,Very Bad,Neither good nor bad,Somewhat,Just a little
30,Agatu,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very good,Very good,A lot,Somewhat
22,English,Rural,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Fairly Good,Somewhat,Not at all
30,Agatu,Rural,BENUE,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Good,Just a little,Just a little
36,Agatu,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
32,Pidgin English,Rural,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very good,Fairly Good,Just a little,Just a little
60,Other,Rural,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
25,Agatu,Rural,BENUE,Yes,No,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Just a little,Just a little
28,Yoruba,Rural,EKITI,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Somewhat,Just a little
33,English,Rural,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
70,Yoruba,Rural,EKITI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
21,Yoruba,Rural,EKITI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Not at all
18,Yoruba,Rural,EKITI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
25,Edo,Urban,EDO,Yes,No,No,Can't determine,Yes,Yes,No,Fairly Good,Very good,Just a little,Just a little
36,Agatu,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very Bad,Fairly Bad,Somewhat,Not at all
26,Edo,Urban,EDO,Yes,No,No,Can't determine,Yes,Yes,No,Fairly Bad,Fairly Good,Somewhat,Just a little
35,Igbo,Urban,EDO,Yes,No,No,Can't determine,Yes,Yes,No,Very Bad,Very Bad,Not at all,Not at all
22,English,Rural,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Don’t know,Not at all
32,Agatu,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
25,English,Urban,EDO,Yes,No,No,Can't determine,Yes,Yes,No,Very Bad,Fairly Good,Not at all,Just a little
26,Agatu,Rural,BENUE,Yes,No,No,No,Yes,No,No,Very good,Very good,Not at all,Not at all
35,English,Rural,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
27,Yoruba,Rural,EKITI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
25,Yoruba,Rural,EKITI,Yes,No,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
50,Yoruba,Rural,EKITI,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
18,Pidgin English,Rural,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Fairly Bad,Fairly Bad,Don’t know,Don’t know
28,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Very good,Somewhat,Somewhat
43,Pidgin English,Rural,RIVERS,Yes,Yes,Yes,No,Yes,No,No,Neither good nor bad,Fairly Bad,Just a little,Not at all
29,Agatu,Rural,BENUE,Yes,No,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Somewhat,Somewhat
80,Other,Rural,EKITI,Yes,No,No,No,Yes,No,No,Fairly Bad,Very Bad,Somewhat,Not at all
38,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Good,Fairly Good,Not at all,Not at all
24,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
40,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Very good,Very good,Don’t know,Don’t know
21,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Very Bad,Just a little,Just a little
24,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Neither good nor bad,Somewhat,Just a little
25,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
45,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Very good,Very good,Don’t know,Don’t know
32,Yoruba,Rural,OSUN,No,No,No,No,No,No,No,Fairly Bad,Fairly Good,A lot,A lot
80,Yoruba,Rural,OSUN,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Somewhat,A lot
25,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Very good,Fairly Good,Somewhat,Just a little
18,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Very Bad,Very Bad,Just a little,Just a little
26,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Fairly Bad,Fairly Bad,Just a little,Just a little
22,Hausa,Rural,ZAMFARA,Yes,Yes,No,No,Yes,No,No,Neither good nor bad,Fairly Good,Somewhat,Just a little
59,Yoruba,Rural,OSUN,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Somewhat,Just a little
50,Yoruba,Rural,OSUN,No,No,No,No,No,No,No,Neither good nor bad,Neither good nor bad,A lot,A lot
61,Agatu,Rural,BENUE,No,No,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,A lot,A lot
40,Idoma,Rural,BENUE,No,No,No,No,Yes,No,No,Very good,Very good,Just a little,Just a little
60,Agatu,Rural,BENUE,No,No,No,No,Yes,No,No,Very good,Very good,A lot,Just a little
52,Pidgin English,Rural,RIVERS,Yes,Yes,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Just a little
38,Igbo,Rural,RIVERS,Yes,Yes,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
40,Yoruba,Rural,OSUN,No,No,No,No,No,No,No,Fairly Bad,Fairly Bad,Not at all,Not at all
30,Idoma,Rural,BENUE,No,No,No,No,Yes,No,No,Neither good nor bad,Fairly Bad,A lot,Just a little
36,Pidgin English,Rural,RIVERS,Yes,Yes,No,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
38,English,Rural,RIVERS,Yes,Yes,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,Just a little,Just a little
