Altitud, superfície i població. Municipis
2019
"Font: Institut Cartogràfic de Catalunya; Idescat. Padró municipal d'habitants."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15903&t=201900
Municipi;Comarca;Codi;Altitud  (m);Superfície  (km²);Població
Far d'Empordà, el;Alt Empordà;170059;44;9,00;599
Farrera;Pallars Sobirà;250899;1294;61,87;116
Fatarella, la;Terra Alta;430568;487;56,52;941
Febró, la;Baix Camp;430574;754;16,08;40
Figaró-Montmany;Vallès Oriental;081347;330;14,99;1114
Fígols;Berguedà;080804;1154;29,31;42
Fígols i Alinyà;Alt Urgell;259084;602;101,80;252
Figuera, la;Priorat;430580;576;18,69;111
Figueres;Alt Empordà;170669;39;19,30;46654
Figuerola del Camp;Alt Camp;430593;474;22,72;320
Flaçà;Gironès;170675;34;6,53;1093
Flix;Ribera d'Ebre;430607;47;116,90;3408
Floresta, la;Garrigues;250925;316;5,46;147
Fogars de la Selva;Selva;080826;45;32,12;1451
Fogars de Montclús;Vallès Oriental;080811;386;39,72;470
Foixà;Baix Empordà;170681;85;18,80;297
Folgueroles;Osona;080832;552;10,47;2267
Fondarella;Pla d'Urgell;250931;243;5,43;784
Fonollosa;Bages;080847;525;51,67;1453
Fontanals de Cerdanya;Cerdanya;170694;1180;28,65;444
Fontanilles;Baix Empordà;170708;29;9,28;139
Fontcoberta;Pla de l'Estany;170715;207;17,28;1468
Font-rubí;Alt Penedès;080850;319;37,42;1327
Foradada;Noguera;250946;455;28,55;186
Forallac;Baix Empordà;179026;51;50,63;1687
Forès;Conca de Barberà;430614;866;16,03;43
Fornells de la Selva;Gironès;170736;102;11,86;2650
Fortià;Alt Empordà;170741;8;10,76;763
Franqueses del Vallès, les;Vallès Oriental;080863;181;29,14;20092
Freginals;Montsià;430629;126;17,59;346
Fuliola, la;Urgell;250962;275;11,05;1248
Fulleda;Garrigues;250978;581;16,18;85
Gaià;Bages;080902;481;39,48;175
Galera, la;Montsià;430635;112;27,47;731
Gallifa;Vallès Occidental;080879;502;16,33;172
Gandesa;Terra Alta;430640;363;71,15;3064
Garcia;Ribera d'Ebre;430653;73;52,37;527
Garidells, els;Alt Camp;430666;132;3,07;187
Garriga, la;Vallès Oriental;080885;252;18,80;16514
Garrigàs;Alt Empordà;170754;101;19,89;437
Garrigoles;Baix Empordà;170767;92;9,40;162
Garriguella;Alt Empordà;170773;56;21,01;855
Gavà;Baix Llobregat;080898;9;30,75;46771
Gavet de la Conca;Pallars Jussà;250984;421;90,90;261
Gelida;Alt Penedès;080919;196;26,69;7533
Ger;Cerdanya;170789;1135;33,38;448
Gimenells i el Pla de la Font;Segrià;259123;258;55,84;1111
Ginestar;Ribera d'Ebre;430672;26;15,84;753
Girona;Gironès;170792;70;39,12;101852
Gironella;Berguedà;080924;469;6,78;4826
Gisclareny;Berguedà;080930;1340;36,47;25
Godall;Montsià;430688;168;33,62;575
Golmés;Pla d'Urgell;250997;275;16,62;1840
Gombrèn;Ripollès;170806;919;43,26;188
Gósol;Berguedà;251001;1423;56,29;206
Granada, la;Alt Penedès;080945;272;6,52;2157
Granadella, la;Garrigues;251018;528;88,70;712
Granera;Moianès;080958;782;23,73;69
Granja d'Escarp, la;Segrià;251023;78;38,51;936
Granollers;Vallès Oriental;080961;145;14,87;61275
Granyanella;Segarra;251039;508;24,35;148
Granyena de les Garrigues;Garrigues;251057;366;20,47;132
Granyena de Segarra;Segarra;251044;636;16,30;142
Gratallops;Priorat;430691;321;13,52;229
Gualba;Vallès Oriental;080977;177;23,29;1500
Gualta;Baix Empordà;170813;15;9,02;397
Guardiola de Berguedà;Berguedà;080996;720;61,73;908
Guiamets, els;Priorat;430705;226;12,14;270
Guils de Cerdanya;Cerdanya;170828;1385;22,02;537
Guimerà;Urgell;251095;555;25,76;265
Guingueta d'Àneu, la;Pallars Sobirà;259031;919;108,42;297
Guissona;Segarra;251109;484;18,10;7136
Guixers;Solsonès;251116;840;66,44;134
Gurb;Osona;081000;516;51,57;2681
Horta de Sant Joan;Terra Alta;430712;542;118,99;1149
Hospitalet de Llobregat, l';Barcelonès;081017;8;12,40;264923
Hostalets de Pierola, els;Anoia;081629;361;33,49;2973
Hostalric;Selva;170834;189;3,39;4221
Igualada;Anoia;081022;313;8,11;39967
Isona i Conca Dellà;Pallars Jussà;251155;659;139,37;1019
Isòvol;Cerdanya;170849;1088;10,81;281
Ivars d'Urgell;Pla d'Urgell;251137;265;24,32;1531
Ivars de Noguera;Noguera;251121;314;27,14;334
Ivorra;Segarra;251142;567;15,36;104
Jafre;Baix Empordà;170852;44;6,64;380
Jonquera, la;Alt Empordà;170865;110;56,93;3290
Jorba;Anoia;081038;380;30,90;835
Josa i Tuixén;Alt Urgell;259101;1206;68,16;106
Juià;Gironès;170871;94;8,36;323
Juncosa;Garrigues;251180;575;76,49;386
Juneda;Garrigues;251193;264;47,33;3475
Les;Val d'Aran;251214;634;23,45;946
Linyola;Pla d'Urgell;251229;248;28,66;2700
Llacuna, la;Anoia;081043;615;52,23;870
Lladó;Alt Empordà;170887;197;13,50;818
Lladorre;Pallars Sobirà;251235;1052;146,98;230
Lladurs;Solsonès;251240;834;128,03;176
Llagosta, la;Vallès Oriental;081056;45;3,03;13480
Llagostera;Gironès;170890;160;76,38;8453
Llambilles;Gironès;170904;143;14,58;696
Llanars;Ripollès;170911;983;24,73;505
Llançà;Alt Empordà;170926;4;27,98;4836
Llardecans;Segrià;251253;397;66,04;451
Llavorsí;Pallars Sobirà;251266;811;68,51;352
Lleida;Segrià;251207;155;212,30;138956
Llers;Alt Empordà;170932;142;21,28;1239
Lles de Cerdanya;Cerdanya;251272;1471;102,79;253
Lliçà d'Amunt;Vallès Oriental;081075;145;22,33;15256
Lliçà de Vall;Vallès Oriental;081081;125;10,83;6542
Llimiana;Pallars Jussà;251288;790;41,68;145
Llinars del Vallès;Vallès Oriental;081069;198;27,63;9938
Llívia;Cerdanya;170947;1224;12,93;1417
Lloar, el;Priorat;430727;219;6,64;107
Llobera;Solsonès;251291;855;39,23;188
Llorac;Conca de Barberà;430733;648;23,33;100
Llorenç del Penedès;Baix Penedès;430748;162;4,61;2393
Lloret de Mar;Selva;170950;5;48,71;38373
Llosses, les;Ripollès;170963;895;114,02;218
Lluçà;Osona;081094;745;52,98;273
Maçanet de Cabrenys;Alt Empordà;171024;370;67,91;688
Maçanet de la Selva;Selva;171030;100;45,58;7006
Madremanya;Gironès;170979;177;13,72;283
Maià de Montcal;Garrotxa;170985;241;17,29;449
Maials;Segrià;251333;395;57,08;920
Maldà;Urgell;251305;428;31,36;220
Malgrat de Mar;Maresme;081108;4;8,82;18579
Malla;Osona;081115;580;11,01;273
Manlleu;Osona;081120;461;17,23;20573
Manresa;Bages;081136;238;41,65;77714
Marçà;Priorat;430764;315;16,06;594
Margalef;Priorat;430751;379;34,66;97
Marganell;Bages;082423;291;13,53;266
Martorell;Baix Llobregat;081141;56;12,76;28189
Martorelles;Vallès Oriental;081154;96;3,61;4801
Mas de Barberans;Montsià;430770;348;78,80;578
Masarac;Alt Empordà;171002;85;12,55;288
Masdenverge;Montsià;430786;54;14,61;1070
Masies de Roda, les;Osona;081167;468;16,41;700
Masies de Voltregà, les;Osona;081173;533;22,35;3141
Masllorenç;Baix Penedès;430799;304;6,55;504
Masnou, el;Maresme;081189;27;3,39;23515
Masó, la;Alt Camp;430803;115;3,57;276
Maspujols;Baix Camp;430810;214;3,66;827
Masquefa;Anoia;081192;257;17,06;9211
Masroig, el;Priorat;430825;192;15,51;497
Massalcoreig;Segrià;251312;94;14,14;598
Massanes;Selva;171019;164;26,07;761
Massoteres;Segarra;251327;502;26,11;218
Matadepera;Vallès Occidental;081206;423;25,36;9326
Mataró;Maresme;081213;28;22,53;128265
Mediona;Alt Penedès;081228;430;47,55;2322
Menàrguens;Noguera;251348;205;20,25;806
Meranges;Cerdanya;170998;1539;37,34;104
Mieres;Garrotxa;171058;286;26,29;318
Milà, el;Alt Camp;430831;166;4,13;178
Miralcamp;Pla d'Urgell;251351;287;14,87;1351
Miravet;Ribera d'Ebre;430846;43;32,33;691
Moià;Moianès;081385;717;75,31;6267
Molar, el;Priorat;430859;228;22,81;297
Molins de Rei;Baix Llobregat;081234;37;15,94;25868
Mollerussa;Pla d'Urgell;251370;250;7,08;14683
Mollet de Peralada;Alt Empordà;171061;59;6,04;189
Mollet del Vallès;Vallès Oriental;081249;65;10,77;51318
Molló;Ripollès;171077;1182;43,09;337
Molsosa, la;Solsonès;251364;667;26,89;107
Monistrol de Calders;Moianès;081287;447;21,97;682
Monistrol de Montserrat;Bages;081271;161;11,77;3034
Montagut i Oix;Garrotxa;171096;276;93,70;916
Montblanc;Conca de Barberà;430862;350;91,07;7364
Montbrió del Camp;Baix Camp;430884;132;10,70;2890
Montcada i Reixac;Vallès Occidental;081252;36;23,47;36239
Montclar;Berguedà;081304;728;21,89;136
Montellà i Martinet;Cerdanya;251399;967;54,95;579
Montesquiu;Osona;081311;577;4,94;998
Montferrer i Castellbò;Alt Urgell;251403;732;176,66;1041
Montferri;Alt Camp;430897;229;19,15;387
Montgai;Noguera;251386;286;28,94;625
Montgat;Maresme;081265;20;2,91;12041
Montmajor;Berguedà;081326;756;76,49;464
Montmaneu;Anoia;081332;709;13,62;150
Montmell, el;Baix Penedès;430901;429;72,80;1512
Montmeló;Vallès Oriental;081350;72;4,00;8755
Montoliu de Lleida;Segrià;251425;166;7,34;489
Montoliu de Segarra;Segarra;251410;689;29,47;179
Montornès de Segarra;Segarra;251431;605;12,32;100
Montornès del Vallès;Vallès Oriental;081363;116;10,23;16393
Mont-ral;Alt Camp;430918;888;34,72;162
Mont-ras;Baix Empordà;171100;88;12,31;1679
Mont-roig del Camp;Baix Camp;430923;120;63,32;12136
Montseny;Vallès Oriental;081379;528;26,77;342
Móra d'Ebre;Ribera d'Ebre;430939;38;45,12;5690
Móra la Nova;Ribera d'Ebre;430944;31;15,93;3087
Morell, el;Tarragonès;430957;104;5,94;3704
Morera de Montsant, la;Priorat;430960;743;52,88;152
Muntanyola;Osona;081290;807;40,30;634
Mura;Bages;081398;454;47,79;224
Nalec;Urgell;251459;487;9,25;87
Naut Aran;Val d'Aran;250254;1267;255,75;1803
Navarcles;Bages;081402;269;5,52;5977
Navàs;Bages;081419;370;80,62;6020
Navata;Alt Empordà;171117;145;18,48;1381
Navès;Solsonès;251462;610;145,27;280
Nou de Berguedà, la;Berguedà;081424;876;25,01;161
Nou de Gaià, la;Tarragonès;430976;93;4,32;603
Nulles;Alt Camp;430982;231;10,61;492
Odèn;Solsonès;251484;1130;114,38;249
Òdena;Anoia;081430;421;52,66;3643
Ogassa;Ripollès;171122;951;45,22;234
Olèrdola;Alt Penedès;081458;189;30,15;3692
Olesa de Bonesvalls;Alt Penedès;081461;265;30,79;1810
Olesa de Montserrat;Baix Llobregat;081477;124;16,63;23904
Oliana;Alt Urgell;251497;469;32,37;1810
Oliola;Noguera;251500;452;86,28;197
Olius;Solsonès;251517;742;54,84;986
Olivella;Garraf;081483;211;38,75;3799
Olost;Osona;081496;572;29,37;1198
Olot;Garrotxa;171143;443;29,03;35228
Oluges, les;Segarra;251522;528;18,95;167
Olvan;Berguedà;081445;553;35,58;854
Omellons, els;Garrigues;251538;385;11,06;211
Omells de na Gaia, els;Urgell;251543;560;13,48;131
Ordis;Alt Empordà;171156;98;8,55;371
Organyà;Alt Urgell;251556;558;12,53;784
Orís;Osona;081509;576;27,17;315
Oristà;Osona;081516;468;68,49;541
Orpí;Anoia;081521;375;15,23;147
Òrrius;Maresme;081537;259;5,66;739
Os de Balaguer;Noguera;251569;463;135,96;994
Osor;Selva;171169;340;52,07;428
Ossó de Sió;Urgell;251575;391;26,29;204
Pacs del Penedès;Alt Penedès;081542;201;6,27;922
Palafolls;Maresme;081555;16;16,56;9405
Palafrugell;Baix Empordà;171175;64;26,88;22974
Palamós;Baix Empordà;171181;12;13,98;17910
Palau d'Anglesola, el;Pla d'Urgell;251581;250;12,27;2166
Palau de Santa Eulàlia;Alt Empordà;171194;86;8,44;91
Palau-sator;Baix Empordà;171215;20;12,39;310
Palau-saverdera;Alt Empordà;171208;78;16,45;1476
Palau-solità i Plegamans;Vallès Occidental;081568;130;14,93;14771
Pallaresos, els;Tarragonès;431009;120;5,13;4777
Pallejà;Baix Llobregat;081574;41;8,30;11508
Palma d'Ebre, la;Ribera d'Ebre;430995;335;37,92;340
Palma de Cervelló, la;Baix Llobregat;089058;100;5,46;2954
Palol de Revardit;Pla de l'Estany;171236;152;17,98;455
Pals;Baix Empordà;171241;55;25,83;2411
Papiol, el;Baix Llobregat;081580;135;8,95;4145
Pardines;Ripollès;171254;1226;31,05;162
Parets del Vallès;Vallès Oriental;081593;98;9,12;19082
Parlavà;Baix Empordà;171267;40;6,18;394
Passanant i Belltall;Conca de Barberà;431016;714;27,35;163
Pau;Alt Empordà;171289;33;10,70;560
Paüls;Baix Ebre;431021;378;43,83;556
Pedret i Marzà;Alt Empordà;171292;22;8,65;198
Penelles;Noguera;251641;276;25,51;452
Pera, la;Baix Empordà;171306;93;11,54;446
Perafita;Osona;081607;754;19,59;395
Perafort;Tarragonès;431037;125;9,54;1261
Peralada;Alt Empordà;171328;32;43,61;1850
Peramola;Alt Urgell;251654;566;56,17;347
Perelló, el;Baix Ebre;431042;142;100,67;2770
Piera;Anoia;081614;324;57,20;15603
Piles, les;Conca de Barberà;431055;676;22,39;212
Pineda de Mar;Maresme;081635;10;10,74;27272
Pinell de Brai, el;Terra Alta;431068;189;56,99;1017
Pinell de Solsonès;Solsonès;251667;800;91,11;200
Pinós;Solsonès;251673;823;104,32;287
Pira;Conca de Barberà;431074;385;8,01;493
Pla de Santa Maria, el;Alt Camp;431080;381;34,99;2327
Pla del Penedès, el;Alt Penedès;081640;216;9,57;1256
Planes d'Hostoles, les;Garrotxa;171334;370;37,50;1683
Planoles;Ripollès;171349;1136;18,75;288
Plans de Sió, els;Segarra;259118;412;55,89;506
Poal, el;Pla d'Urgell;251689;216;8,88;648
Pobla de Cérvoles, la;Garrigues;251692;663;61,92;191
Pobla de Claramunt, la;Anoia;081653;265;18,54;2193
Pobla de Lillet, la;Berguedà;081666;843;51,45;1095
Pobla de Mafumet, la;Tarragonès;431093;98;6,21;3904
Pobla de Massaluca, la;Terra Alta;431107;357;43,40;318
Pobla de Montornès, la;Tarragonès;431114;56;12,29;2839
Pobla de Segur, la;Pallars Jussà;251713;524;32,83;2984
Poboleda;Priorat;431129;343;13,95;313
Polinyà;Vallès Occidental;081672;123;8,79;8479
Pont d'Armentera, el;Alt Camp;431135;349;21,67;505
Pont de Bar, el;Alt Urgell;250306;861;42,62;157
Pont de Molins;Alt Empordà;171352;43;8,66;529
Pont de Suert, el;Alta Ribagorça;251734;838;148,14;2220
Pont de Vilomara i Rocafort, el;Bages;081825;202;27,41;3830
Pontils;Conca de Barberà;431418;551;67,56;117
Pontons;Alt Penedès;081688;584;25,94;532
Pontós;Alt Empordà;171365;94;13,66;266
Ponts;Noguera;251728;363;30,52;2601
Porqueres;Pla de l'Estany;171371;148;33,52;4621
Porrera;Priorat;431140;316;28,83;439
Port de la Selva, el;Alt Empordà;171404;12;41,62;970
Portbou;Alt Empordà;171387;28;9,22;1075
Portella, la;Segrià;251749;259;12,31;728
Pradell de la Teixeta;Priorat;431153;463;21,83;152
Prades;Baix Camp;431166;950;32,58;589
Prat de Comte;Terra Alta;431172;363;26,43;183
Prat de Llobregat, el;Baix Llobregat;081691;8;31,41;64599
Pratdip;Baix Camp;431188;245;36,27;738
Prats de Lluçanès;Osona;081712;707;13,78;2569
Prats de Rei, els;Anoia;081705;608;26,06;532
Prats i Sansor;Cerdanya;251752;1124;6,57;219
Preixana;Urgell;251765;328;21,52;385
Preixens;Noguera;251771;315;28,67;432
Premià de Dalt;Maresme;082303;142;6,57;10448
Premià de Mar;Maresme;081727;8;2,11;28119
Preses, les;Garrotxa;171390;474;9,39;1788
Prullans;Cerdanya;251790;1096;21,21;231
Puigcerdà;Cerdanya;171411;1202;18,92;9258
Puigdàlber;Alt Penedès;081748;239;0,40;526
Puiggròs;Garrigues;251804;334;9,90;276
Puigpelat;Alt Camp;431191;252;9,48;1149
Puig-reig;Berguedà;081751;455;45,75;4178
Puigverd d'Agramunt;Urgell;251811;366;17,00;255
Puigverd de Lleida;Segrià;251826;219;12,51;1355
Pujalt;Anoia;081764;770;31,43;210
Quar, la;Berguedà;081770;885;38,25;53
Quart;Gironès;171426;91;38,09;3724
Queralbs;Ripollès;170433;1236;93,47;191
Querol;Alt Camp;431205;565;72,26;507
Rabós;Alt Empordà;171432;106;45,10;178
Rajadell;Bages;081786;361;45,53;548
Rasquera;Ribera d'Ebre;431212;174;51,31;781
Regencós;Baix Empordà;171447;78;6,27;269
Rellinars;Vallès Occidental;081799;322;17,79;780
Renau;Tarragonès;431227;175;8,22;157
Reus;Baix Camp;431233;117;52,82;104373
Rialp;Pallars Sobirà;251832;725;63,30;661
Riba, la;Alt Camp;431248;263;7,99;585
Riba-roja d'Ebre;Ribera d'Ebre;431251;76;99,14;1126
Ribera d'Ondara;Segarra;259059;570;54,47;426
Ribera d'Urgellet;Alt Urgell;251850;702;106,96;935
Ribes de Freser;Ripollès;171450;912;41,87;1754
Riells i Viabrea;Selva;171463;96;26,98;4124
Riera de Gaià, la;Tarragonès;431264;28;8,76;1744
Riner;Solsonès;251863;830;47,10;263
Ripoll;Ripollès;171479;691;73,71;10686
Ripollet;Vallès Occidental;081803;79;4,33;38665
Riu de Cerdanya;Cerdanya;259139;1173;12,34;93
Riudarenes;Selva;171485;84;47,60;2182
Riudaura;Garrotxa;171498;572;23,60;478
Riudecanyes;Baix Camp;431270;195;17,10;1124
Riudecols;Baix Camp;431286;299;19,46;1180
Riudellots de la Selva;Selva;171501;98;13,12;2076
Riudoms;Baix Camp;431299;125;32,43;6594
Riumors;Alt Empordà;171518;7;6,54;258
Roca del Vallès, la;Vallès Oriental;081810;123;36,90;10650
Rocafort de Queralt;Conca de Barberà;431303;566;8,47;225
Roda de Berà;Tarragonès;431310;57;16,50;6567
Roda de Ter;Osona;081831;443;2,23;6301
Rodonyà;Alt Camp;431325;312;8,49;490
Roquetes;Baix Ebre;431331;14;136,92;7973
Roses;Alt Empordà;171523;5;45,91;19550
Rosselló;Segrià;251898;252;9,92;3145
Rourell, el;Alt Camp;431346;114;2,32;366
Rubí;Vallès Occidental;081846;123;32,30;77464
Rubió;Anoia;081859;629;48,00;239
Rupià;Baix Empordà;171539;66;5,29;272
Rupit i Pruit;Osona;089019;822;47,81;279
Sabadell;Vallès Occidental;081878;190;37,79;213644
Sagàs;Berguedà;081884;738;44,60;148
Salàs de Pallars;Pallars Jussà;251902;573;20,27;320
Saldes;Berguedà;081901;1215;66,40;274
Sales de Llierca;Garrotxa;171544;260;35,82;154
Sallent;Bages;081918;278;65,22;6658
Salomó;Tarragonès;431359;165;12,21;557
Salou;Tarragonès;439057;2;15,13;27476
Salt;Gironès;171557;83;6,64;31362
Sanaüja;Segarra;251919;409;32,99;380
Sant Adrià de Besòs;Barcelonès;081944;14;3,82;37097
Sant Agustí de Lluçanès;Osona;081957;816;13,22;85
Sant Andreu de la Barca;Baix Llobregat;081960;42;5,50;27558
Sant Andreu de Llavaneres;Maresme;081976;114;11,83;10968
Sant Andreu Salou;Gironès;171576;132;5,96;155
Sant Aniol de Finestres;Garrotxa;171833;289;47,73;341
Sant Antoni de Vilamajor;Vallès Oriental;081982;258;13,70;6135
Sant Bartomeu del Grau;Osona;081995;868;34,40;858
Sant Boi de Llobregat;Baix Llobregat;082009;30;21,47;83605
Sant Boi de Lluçanès;Osona;082016;813;19,53;541
Sant Carles de la Ràpita;Montsià;431362;11;53,72;14789
Sant Cebrià de Vallalta;Maresme;082037;71;15,68;3385
Sant Celoni;Vallès Oriental;082021;152;65,23;17904
Sant Climent de Llobregat;Baix Llobregat;082042;87;10,81;4129
Sant Climent Sescebes;Alt Empordà;171582;86;24,37;626
Sant Cugat del Vallès;Vallès Occidental;082055;124;48,23;91006
Sant Cugat Sesgarrigues;Alt Penedès;082068;266;6,24;1007
Sant Esteve de la Sarga;Pallars Jussà;251961;875;92,87;124
Sant Esteve de Palautordera;Vallès Oriental;082074;231;10,64;2820
Sant Esteve Sesrovires;Baix Llobregat;082080;183;18,56;7612
Sant Feliu de Buixalleu;Selva;171595;402;61,94;783
Sant Feliu de Codines;Vallès Oriental;082107;480;15,00;6259
Sant Feliu de Guíxols;Baix Empordà;171609;4;16,23;21925
Sant Feliu de Llobregat;Baix Llobregat;082114;25;11,82;44860
Sant Feliu de Pallerols;Garrotxa;171616;473;34,86;1371
Sant Feliu Sasserra;Bages;082129;617;22,36;602
Sant Ferriol;Garrotxa;171621;146;42,24;243
Sant Fost de Campsentelles;Vallès Oriental;082093;112;13,15;8737
Sant Fruitós de Bages;Bages;082135;247;22,20;8703
Sant Gregori;Gironès;171637;112;49,17;3817
Sant Guim de Freixenet;Segarra;251924;738;25,10;1025
Sant Guim de la Plana;Segarra;251977;556;12,45;185
Sant Hilari Sacalm;Selva;171642;803;83,28;5627
Sant Hipòlit de Voltregà;Osona;082153;536;0,92;3484
Sant Iscle de Vallalta;Maresme;081939;129;17,77;1332
Sant Jaume d'Enveja;Montsià;439023;7;60,79;3503
Sant Jaume de Frontanyà;Berguedà;082166;1072;21,26;30
Sant Jaume de Llierca;Garrotxa;171655;203;6,75;865
Sant Jaume dels Domenys;Baix Penedès;431378;213;24,45;2622
Sant Joan de les Abadesses;Ripollès;171674;773;53,67;3232
Sant Joan de Mollet;Gironès;171680;54;3,15;507
Sant Joan de Vilatorrada;Bages;082188;277;16,42;10936
Sant Joan Despí;Baix Llobregat;082172;10;6,17;34123
Sant Joan les Fonts;Garrotxa;171851;342;31,94;3006
Sant Jordi Desvalls;Gironès;171668;57;11,72;761
Sant Julià de Cerdanyola;Berguedà;089030;954;11,79;228
Sant Julià de Ramis;Gironès;171693;128;18,80;3515
Sant Julià de Vilatorta;Osona;082205;600;15,94;3114
Sant Julià del Llor i Bonmatí;Selva;179032;160;9,73;1286
Sant Just Desvern;Baix Llobregat;082212;122;7,81;17805
Sant Llorenç d'Hortons;Alt Penedès;082227;196;19,72;2413
Sant Llorenç de la Muga;Alt Empordà;171714;173;31,84;264
Sant Llorenç de Morunys;Solsonès;251930;925;4,34;949
Sant Llorenç Savall;Vallès Occidental;082233;466;41,11;2373
Sant Martí d'Albars;Osona;082251;629;14,73;112
Sant Martí de Centelles;Osona;082248;404;25,55;1167
Sant Martí de Llémena;Gironès;171729;256;43,13;633
Sant Martí de Riucorb;Urgell;259025;409;34,90;646
Sant Martí de Tous;Anoia;082264;465;39,21;1235
Sant Martí Sarroca;Alt Penedès;082270;291;35,27;3264
Sant Martí Sesgueioles;Anoia;082286;646;3,87;343
Sant Martí Vell;Gironès;171735;65;17,52;252
Sant Mateu de Bages;Bages;082299;569;102,92;603
Sant Miquel de Campmajor;Pla de l'Estany;171740;217;33,22;231
Sant Miquel de Fluvià;Alt Empordà;171753;28;3,51;764
Sant Mori;Alt Empordà;171766;51;7,53;177
Sant Pau de Segúries;Ripollès;171772;867;8,74;697
Sant Pere de Ribes;Garraf;082310;44;40,80;30719
Sant Pere de Riudebitlles;Alt Penedès;082325;246;5,38;2368
Sant Pere de Torelló;Osona;082331;621;55,13;2419
Sant Pere de Vilamajor;Vallès Oriental;082346;305;34,72;4472
Sant Pere Pescador;Alt Empordà;171788;5;18,45;2042
Sant Pere Sallavinera;Anoia;081897;588;22,02;152
Sant Pol de Mar;Maresme;082359;15;7,53;5299
Sant Quintí de Mediona;Alt Penedès;082362;326;13,84;2254
Sant Quirze de Besora;Osona;082378;587;8,10;2167
Sant Quirze del Vallès;Vallès Occidental;082384;188;14,07;20141
Sant Quirze Safaja;Moianès;082397;627;26,21;627
Sant Ramon;Segarra;251945;641;18,53;491
Sant Sadurní d'Anoia;Alt Penedès;082401;162;18,96;12887
Sant Sadurní d'Osormort;Osona;082418;531;30,60;78
Sant Salvador de Guardiola;Bages;080983;334;37,15;3179
Sant Vicenç de Castellet;Bages;082628;176;17,13;9523
Sant Vicenç de Montalt;Maresme;082649;143;8,05;6407
Sant Vicenç de Torelló;Osona;082652;555;6,56;2058
Sant Vicenç dels Horts;Baix Llobregat;082634;22;9,12;28117
Santa Bàrbara;Montsià;431384;79;28,15;3707
Santa Cecília de Voltregà;Osona;082439;519;8,63;187
Santa Coloma de Cervelló;Baix Llobregat;082444;73;7,49;8218
Santa Coloma de Farners;Selva;171805;142;70,64;13143
Santa Coloma de Gramenet;Barcelonès;082457;56;7,00;119215
